TimeInSecondsPosix,V1x,V1y,V1Heading,V2x,V2y,V2Heading,V3x,V3y,V3Heading
1600171680.2,-207.417409675463,-185.144570661344,25.7607051607732,-201.00146484846,-190.931029062355,43.0314055062517,-51.7521034836305,-1.2365999552262,-121.351100525655
1600171680.3,-207.357693583686,-185.090028754628,25.5754684612502,-200.897900315672,-190.84029456831,43.0257344360852,-51.7503577578535,-1.23373524251738,-121.349992656056
1600171680.4,-207.297083114613,-185.040009472529,25.3564519051218,-200.792834539378,-190.747824897034,43.0279043174087,-51.7471391596215,-1.23176659245573,-121.345344782491
1600171680.5,-207.235625965533,-184.993908568115,25.1104984381289,-200.686305722504,-190.653655798037,43.0381514476338,-51.7402162716512,-1.22758759330639,-121.329493635493
1600171680.6,-207.173369828058,-184.951121794536,24.8443073024913,-200.578352063722,-190.557823020907,43.056712975179,-51.7358358770657,-1.22058647026836,-121.317729160612
1600171680.7,-207.110362400892,-184.911044905101,24.564470535129,-200.46901176312,-190.46036231531,43.0838269185758,-51.7355043487357,-1.21296679400349,-121.30307802679
1600171680.8,-207.046651377068,-184.873073652879,24.277500083586,-200.358323019369,-190.361309430834,43.1197322698101,-51.7332429522458,-1.2053989561451,-121.2905861225
1600171680.9,-206.982284453871,-184.836603790941,23.9898467470988,-200.246324032558,-190.260700117147,43.1646687901887,-51.7296845381493,-1.19737503485368,-121.271188643818
1600171681,-206.917309324333,-184.801031072673,23.7079116234913,-200.133053004194,-190.158570123915,43.2188771833655,-51.7280752120889,-1.19232860621065,-121.258794266615
1600171681.1,-206.85177368574,-184.765751251226,23.4380510507369,-200.018548132949,-190.054955200725,43.2825990038922,-51.7251274619474,-1.18758332209428,-121.251132745655
1600171681.2,-206.785725232543,-184.730160079589,23.1865757379168,-199.902847618911,-189.949891097088,43.3560764408014,-51.7220529539353,-1.18212091346847,-121.239365359465
1600171681.3,-206.71921165919,-184.69365331107,22.959744721114,-199.785989660752,-189.843413562827,43.4395525340731,-51.7177237750091,-1.18281435897336,-121.226349010118
